family;name;class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
;Sulphur Tricholoma;p;[3.0, 8.0];;;[y, n, e, y];[f];[s];[d];;[3.0, 8.0];[8.0, 18.0];;[i];[n, y];;;[f];[f];;[l];[a]
;St George’s Mushroom;e;[5.0, 12.0];[f];;;[f];[s];[c];[w];[4.0, 10.0];[20.0, 40.0];;;[w];;;[f];[f];;[m, d];
;Clustered Brown Cap;e;[6.0, 10.0];[x];;[n];[f];[a];;[w];[5.0, 10.0];[10.0, 18.0];;;[w];;;[f];[f];;[d];[u, a]
;Changeable Melanoleuca;e;[4.0, 10.0];;[s];[n];[f];[s];[c];[w];[4.0, 8.0];[10.0, 0];;[i];[n, w];;;[f];[f];;[g, m, d];[u, a]
;Plums and custard;p;[4.0, 12.0];[f];[y, y];[u, y];[f];[s];[c];[y];[4.0, 10.0];[10.0, 25.0];;[y];;;;[f];[f];;;[a]
;Ivory Wax Cap;e;[2.0, 5.0];[x, f];[w];;[f];[d];;;[2.0, 5.0];[4.0, 8.0];;;[w];;;[f];[f];;[g, m];[a, w]
;Yellow Wax cap;p;[3.0, 6.0];;;[o];[f];[a];[c];[w, y];[5.0, 7.0];[5.0, 10.0];;[g];;;;[f];[f];;[g];[u, a]
;Orange-red Wax Cap;p;[1.0, 4.0];[f];[w, y, s];[o];[f];[a, d];;[y, o];[2.0, 4.0];[4.0, 7.0];;;;;;[f];[f];;[m, h];[a]
;Blackening Wax Cap;p;[4.0, 7.0];[b, x];;;[f];[e];;[y];[4.0, 10.0];[5.0, 10.0];;;[w, k];;;[f];[f];;[g, m];[u, a]
;Meadow Wax Cap;e;[3.0, 10.0];[x, f];;;[f];[d];[d];;[4.0, 8.0];[10.0, 15.0];;;;;;[f];[f];;[g, m, d];[a, w]
;Scarlet Hood;e;[2.0, 5.0];[x];[h, s];[p, e, o];[f];;;[e, o];[3.0, 6.0];[5.0, 8.0];;;[e, o];;;[f];[f];;[g, m];[u, w]
;Parrot Wax Cap;p;[2.0, 4.0];[b, f];[t, w, d];[r, p, y];[f];[a];;[r, y];[4.0, 6.0];[4.0, 8.0];;[t];[r, y];;;[f];[f];;[g, m, d];[u, a]
;Herald of Winter;e;[3.0, 5.0];[x, f];[t];[n];[f];[d];;[o];[5.0, 7.0];[5.0, 10.0];;[d, t];;;;[t];[f];;[d];[a, w]
;Common Yellow Russula;e;[4.0, 10.0];[x, f];;[y];[f];[a];[c];;[4.0, 8.0];[10.0, 20.0];;;[w];;;[f];[f];;[l, d];[u, w]
;Yellow-gilled Russula;e;[2.0, 6.0];[p, x];;[y];[f];[a];[c];[y, o];[2.0, 6.0];[6.0, 12.0];;;[w];;;[f];[f];;[l];[u, a]
;Yellow Swamp Russula;e;[4.0, 10.0];[x];[h, t];[y];[t];[x];[c];[y];[5.0, 10.0];[10.0, 20.0];;;[w];;;[f];[f];;;[u, a]
;Geranium-scented Russula;p;[4.0, 10.0];[x, f];[t];[n, y];[f];[x];[c];;[3.0, 8.0];[10.0, 20.0];;;;;;[f];[f];;;[a]
;Stinking Russula;p;[6.0, 15.0];;[g, t];[n];[f];[a];;;[6.0, 15.0];[20.0, 40.0];;;[n];;;[f];[f];;[l];[u, a]
;Fragile Russula;p;[2.0, 6.0];[f, s];[g];[p, u];[f];[a];;;[3.0, 6.0];[5.0, 10.0];;;[w, y];;;[f];[f];;[l];[u, a]
;Birch Russula;p;[2.0, 6.0];[x, f];;[b, p, e, y];[f];[x];;[w];[3.0, 7.0];[5.0, 8.0];;;[w];;;[f];[f];;;[u, a]
;Bare-toothed Russula;e;[5.0, 10.0];;;[n, p, e];[f];[x];[c];[w];[4.0, 10.0];[10.0, 25.0];;;[w];;;[f];[f];;[l, d];[u, a]
;The Charcoal Burner;e;[5.0, 15.0];;;[n, r, y, l];[f];[x];[c];[w];[5.0, 10.0];[10.0, 30.0];;;[u, w];;;[f];[f];;[l];[u, a]
;Blackish Purple Russula;e;[4.0, 12.0];[x, f, s];[s];;[f];[a];[c];[w];[3.0, 6.0];[10.0, 20.0];;;[n, p, w];;;[f];[f];;[l, d];[u, a]
;Blackening Russula;e;[8.0, 25.0];[x, f];;[n, w, k];[f];[a];;[n, e, y, k];[4.0, 10.0];[15.0, 30.0];;;;;;[f];[f];;[d];[u, w]
;The Sickener;p;[5.0, 10.0];[x, f];;;[f];[x];;[w];[4.0, 8.0];[15.0, 20.0];;;[w];;;[f];[f];;;[u, a]
;Beechwood Sickener;p;[3.0, 7.0];;;[p, w];[f];;[c];[r, w];[2.0, 5.0];[10.0, 15.0];;;[y];;;[f];[f];;;[a]
;Crab-scented Russula;e;[7.0, 15.0];[x];[s];[n, r, u, y];[f];[x];;;[4.0, 10.0];[15.0, 30.0];;;[n, p, w];;;[f];[f];;[l, d];[u, w]
;Grass-green Russula;p;[5.0, 10.0];;;[n, r, y];[f];[x];[c];[y];[5.0, 8.0];[8.0, 15.0];;;[w];;;[f];[f];;;[u, a]
;Peppery Milk Cap;e;[8.0, 15.0];;;[w];[f];[d, d];[c];[r, y, p, y];[4.0, 8.0];[20.0, 30.0];;;[w];;;[f];[f];;[l];[u, a]
;Fleecy Milk Cap;p;[10.0, 25.0];[x, f, s];;[n, y];[f];[d];[d];[w, n];[4.0, 10.0];[20.0, 40.0];;;[w];;;[f];[f];;[l, d];[u, w]
;Oak Milk Cap;p;[4.0, 9.0];[x, s];[d];[n, e];[f];[d];[c];[n, w];[4.0, 10.0];[6.0, 12.0];;;;;;[f];[f];;;[a]
;Slimy Milk Cap;p;[5.0, 10.0];[s];[t];[n];[f];[d];;[w];[4.0, 5.0];[10.0, 15.0];;[t];;;;[f];[f];;[l];[u, a]
;Ugly Milk Cap;p;[7.0, 20.0];[x, f, s];;[n, k];[f];[d];[c];[n, b];[4.0, 6.0];[20.0, 30.0];;;;;;[f];[f];;[g];[u, a]
;Rufous Milk Cap;p;[4.0, 10.0];[f, s];[d];[n, e];[f];[d];[c];[y, w];[4.0, 8.0];[6.0, 12.0];;;;;;[f];[f];;;[u, a]
;Sweet Milk Cap;p;[3.0, 8.0];;;;[f];[d];[c];[b, p, w, y];[4.0, 8.0];[4.0, 8.0];;;;;;[f];[f];;[l];[u, a]
;Small Brown Milk Cap;p;[2.0, 4.0];[f];[w];[n, o];[f];[d];[c];[n, w, y];[2.0, 5.0];[4.0, 8.0];;;;;;[f];[f];;[l];[u, a]
;Coconut-scented Milk Cap;e;[2.0, 5.0];;;[n, p];[f];[d];[c];[w];[3.0, 6.0];[4.0, 8.0];;;;;;[f];[f];;[l];[u, a]
;Woolly Milk Cap;p;[6.0, 12.0];;[t];[p];[f];[d];[c];[p];[6.0, 10.0];[10.0, 20.0];;;[p];;;[t];[f];;;[u, a]
;Saffron Milk Cap;e;[5.0, 15.0];;[t];;[f];[d];[c];[o];[4.0, 8.0];[15.0, 20.0];;;[o];;;[f];[f];;;[u, a]
;Spruce Milk Cap;p;[5.0, 12.0];;;[y, o];[f];[d];;[r, e, o];[3.0, 7.0];[10.0, 15.0];;;;;;[t];[f];;;[u, a]
;Fawn Pluteus;e;[6.0, 12.0];;[s];[n];[f];[e];[c];;[4.0, 10.0];[8.0, 12.0];;[i];[w, n, w];;;[f];[f];[p];[l];[a]
;Veined Pluteus;e;[4.0, 9.0];[x];[y, y];[n];[f];[e];[c];[n, p, w];[3.0, 8.0];[8.0, 12.0];;[y];[n];;;[f];[f];;[l, d];[u, a]
;Silky Nolanea;p;[2.0, 5.0];[x, f];[g];[n];[f];[s];;[p];[3.0, 5.0];[2.0, 4.0];;;;;;[f];[f];[p];[g];[u, a]
;Striated Nolanea;p;[3.0, 5.0];[b, f];[g, t];[n];[f];[x];[c];[p];[4.0, 8.0];[3.0, 6.0];;[i, g];;;;[f];[f];;[g, m, d];[u, a]
;White Leptonia;p;[2.0, 4.0];[x, s];;;[f];[a, d];;[p, w];[2.0, 5.0];[2.0, 3.0];;[h];[w];;;[f];[f];;[g];[u, a]
;Blue Leptonia;p;[1.0, 3.0];[x, f];[i];[l, k];[f];[a];;[p, w];[2.0, 6.0];[2.0, 3.0];;;[w];;;[f];[f];[p, l];[g];[u, a]
;Livid Entoloma;p;[6.0, 18.0];;;;[f];[s];;[p, y];[5.0, 10.0];[15.0, 20.0];;[i];;;;[f];[f];;[d];[u, a]
;The Miller;e;[4.0, 10.0];[x];[l];[w];[f];[d];;[p, w];[3.0, 4.0];[6.0, 12.0];;;[w];;;[f];[f];;[g, d];[u, a]
;Apricot Fungus;p;[5.0, 10.0];[x];[w];;[f];[s];[c];;[3.0, 6.0];[8.0, 12.0];;;[p];;;[f];[f];;[d];[a, w]
;Egg Yolk Fungus;p;[1.0, 3.0];[p, c, f];[g, h, t];[y, n];[f];;;[n];[5.0, 10.0];[2.0, 4.0];;;[y];;;[f];[f];;[g];[u, a]
;Brown Bell Cap;p;[1.0, 3.0];[b];[g];[n, n, y, o];[f];;[c];[n];[4.0, 8.0];[2.0, 4.0];;;;;;[f];[f];;[g, m, d];[s, a]
;Spring Agaric;e;[3.0, 6.0];[x];;;[f];[x];[c];[n];[7.0, 9.0];[6.0, 12.0];[b];;;;;[t];[f];;[g, d];[s, u, a]
;Shaggy Pholiota;p;[4.0, 12.0];[x];[y, y, s];[y];[f];[a];[c];[n];[6.0, 15.0];[7.0, 15.0];;;;;;[t];[f];;[l, d];[u, a]
;Charcoal Pholiota;p;[2.0, 6.0];;[h, t, y];[n, o, n];[f];[a];[c];[n];[3.0, 6.0];[4.0, 8.0];;[y];;;;[t];[f];;[d];[a, w]
;Brown Stew Fungus;e;[3.0, 8.0];;[h];[n];[f];[x];[c];[n];[3.0, 8.0];[4.0, 8.0];;[y, s];;;;[t];[f];;[l];[s, w]
;Sulphur Tuft;p;[2.0, 6.0];[b];[s];;[f];;[c];[y, y];[5.0, 12.0];[5.0, 10.0];;;;;;[t];[f];[r, k];[l, d];
;Brick Caps;p;[4.0, 8.0];;;[e];[f];[a];;[n, y];[6.0, 10.0];[8.0, 12.0];;;[y];;[w];[t];[f];;[d];[a]
;Verdigris Toadstool;p;[2.0, 6.0];[b, x];[h, t, y, y, t, y];[r, l, w];[f];[s];[c];[n, u, w];[4.0, 8.0];[5.0, 10.0];;[y];[w];;;[t];[f];[r, u, l, k];[g, m, d];[u, a]
;Dung Roundhead;p;[1.0, 3.0];[f];[d, t, t];;[f];[a];[c];[n];[4.0, 10.0];[2.0, 3.0];;[t];[y];;;[t];[f];;[m];[s, a]
;Magic Mushroom;p;[2.0, 5.0];[b];;;[f];;[c];;[2.0, 3.0];[0, 0];;;[l];;;[t];[f];;[g, m];[u, a]
;Red-banded Cortinarius;p;[6.0, 12.0];;[i];;[f];[a];;[n];[6.0, 15.0];[10.0, 20.0];;;[e, o];;[n];[f];[f];;[h];[a]
;Purple Cortinarius;p;[5.0, 12.0];[x];;[n];[t];[x];;[n, u];[6.0, 12.0];[15.0, 25.0];;;;;[u];[f];[f];;[l];[a]
;Blood-red Cortinarius;p;[2.0, 5.0];;[i];;[f];;;[e];[3.0, 6.0];[3.0, 8.0];;;;;;[f];[f];[n];[l];[a]
;Red-staining Inocybe;p;[3.0, 8.0];[c];;;[t];[x];[c];[p, y];[3.0, 10.0];[10.0, 15.0];;;[e, w];;;[f];[f];;[g, d];[s, a]
;Straw-coloured Inocybe;p;[3.0, 7.0];[c];[i];[n, n, y];[f];;[c];[n];[5.0, 8.0];[5.0, 10.0];;[t];;;;[f];[f];;[l, d];[u, a]
;Common White Inocybe;p;[1.0, 4.0];[c, f];;[w];[f];[a];[c];[n];[2.0, 5.0];[3.0, 4.0];;[i];;;;[f];[f];;[p, d];[u, a]
;Poison Pie;p;[4.0, 10.0];[x];[s, t];;[f];[s];;[n];[4.0, 7.0];[5.0, 10.0];;[y];[w];;;[f];[f];;[l];[a, w]
;Dark-centred Hebeloma;p;[2.0, 5.0];[x];[t];[n];[f];[s];[c];[n, p];[4.0, 7.0];[5.0, 12.0];;;[w];;;[t];[f];;;[u, a]
;Rusty Wood Rotter;p;[4.0, 8.0];[b, f];;[n];[f];[a, d];[c];[y];[4.0, 7.0];[5.0, 8.0];;[i];[w];;;[t];[f];;;[u, a]
;Spectacular Gymnopile;p;[6.0, 15.0];[x];[d];;[f];[a];;[y, o];[6.0, 18.0];[15.0, 30.0];[r];;;;;[t];[f];;[l];[u, w]
;Moss Pixy Cap;p;[1.0, 2.0];[b];[h];[n];[f];[a];;[w];[3.0, 6.0];[1.0, 2.0];;[t];[n];;;[f];[f];;[g, h, d];[s, a]
;Field Mushroom;e;[3.0, 10.0];;[s];[w];[f];[e];[c];;[3.0, 7.0];[10.0, 15.0];;;[w];;[n, w];[t];[f];;[g, m];[u, a]
;Cultivated Mushroom;e;[3.0, 10.0];[f];[i, y];[n];[f];[e];[c];[p];[3.0, 6.0];[10.0, 15.0];;;;;;[t];[f];;;[u, a]
;Horse Mushroom;e;[5.0, 20.0];[f];;[w, y];[t];[e];;[n];[5.0, 15.0];[15.0, 20.0];;;[w, y];;;[t];[f];;[m];[u, a]
;Yellow-staining Mushroom;p;[5.0, 10.0];;[y];[w, y];[t];;;[n, p, w];[6.0, 10.0];[10.0, 18.0];;;[w];;;[t];[f];;[g, d];[u, a]
;Bleeding Brown Mushroom;e;[8.0, 12.0];;[i, y];[n, e];[t];[e];;[p, e];[8.0, 10.0];[15.0, 20.0];;[y];[w];;;[t];[f];;[l, d];[a]
;Shaggy Ink Cap;e;[5.0, 15.0];[p, f];[y, s];[n, w];[f];[e];[c];[p, w, k];[8.0, 30.0];[10.0, 15.0];;[y, s, s];[w];;;[t];[f];;[g, u, d];[s, w]
;Common Ink Cap;p;[4.0, 8.0];[p, b];;;[f];;;[w, k];[5.0, 15.0];[10.0, 15.0];;[s];[w];;;[t];[f];;[g, d];[s, w]
;Magpie Ink Cap;p;[6.0, 10.0];[b];;[n, w];[f];;;[p, k];[10.0, 20.0];[15.0, 20.0];;;[w];;;[t];[f];;[l];[a]
;Rusty Carpet Ink Cap;p;[2.0, 5.0];[b];[g, y, y];[n, w];[f];;[c];[u, w];[4.0, 8.0];[4.0, 5.0];;[s];[w];;;[f];[f];;[l, d];[u, a]
;Glistening Ink Cap;e;[2.0, 4.0];[b];[g];[n];[f];;[c];[n, k];[5.0, 8.0];[2.0, 4.0];;;[n, w];;;[f];[f];;[l];
;Fairies’ Bonnets;e;[2.0, 4.0];[b];[g];[n];[f];;;;[1.0, 2.0];[0, 0];;;[w];;;[f];[f];;[d];[s, w]
;Fairy Parasol;e;[1.0, 2.0];[f];;[k, n];[f];;;[k];[4.0, 6.0];[2.0, 3.0];;;;;;[f];[f];;[g, d];[s, w]
;Common Crumble Cap;e;[3.0, 6.0];[f];;[y];[f];[x];[c];[n, w];[5.0, 8.0];[3.0, 5.0];;;[w];;;[f];[f];[p, w];[l];[u, a]
;Two-toned Crumble Cap;e;[2.0, 5.0];[x, f];[h];;[f];;[c];[n, k];[4.0, 8.0];[5.0, 8.0];;[s];[w];;[n, w];[f];[f];;[l];[u, a]
;Hay Cap;p;[1.0, 2.0];[x];;[n];[f];;;[n, k];[4.0, 6.0];[2.0, 3.0];;[s];[n];;;[f];[f];;[g];[u, a]
;Petticoat Fungus;p;[2.0, 4.0];[b];;[n, k];[f];[a];;[n, k];[6.0, 12.0];[2.0, 3.0];;;[n, w];;[w];[t];[f];;[g];[u, a]
;Egg-shell Toadstool;p;[2.0, 6.0];[b];;;[f];;;[n, k];[5.0, 15.0];[4.0, 8.0];;;[w];;;[t];[f];;;[u, w]
;Weeping Widow;p;[5.0, 10.0];[x];;[n, y];[f];[a];[c];[n, w, k];[6.0, 10.0];[6.0, 10.0];;[i];[n];;[k];[t];[f];;[g, d];[u, a]
;Cep;e;[8.0, 30.0];[x];[w, t];[n];[f];;;;[8.0, 25.0];[4.0, 10.0];;[w];[n, w];;;[f];[f];;[d];[u, a]
;Bay Bolete;e;[7.0, 15.0];;[h, t];;[t];;;;[5.0, 12.0];[20.0, 25.0];;;;;;[f];[f];;[l, d];
;Red-cracked Bolete;e;[5.0, 10.0];[x];[d];[n, p, e, y];[t];;;;[4.0, 8.0];[10.0, 15.0];;;[e, y];;;[f];[f];;[l, d];[u, a]
;Yellow-cracked Bolete;e;[3.0, 10.0];;[d];[n, y];[t];;;;[4.0, 10.0];[10.0, 20.0];;;[y, y];;;[f];[f];;[l];[u, a]
;Dotted-stemmed Bolete;p;[8.0, 20.0];[x];[s];[y, n];[t];;;;[6.0, 12.0];[20.0, 40.0];[c];;[l, n, y, l];;;[f];[f];;[l];[u, a]
;Lurid Bolete;p;[8.0, 14.0];;;[n, e, y, o];[t];;;;[5.0, 12.0];[15.0, 40.0];;;[r, l, u, y];;;[f];[f];;;[u, a]
;Parasitic Bolete;e;[2.0, 5.0];;[d];[n];[f];;;;[3.0, 6.0];[8.0, 12.0];;;[n, y];;;[f];[f];;;[a]
;Bitter Bolete;p;[5.0, 14.0];;;[n, w];[f];;;;[6.0, 14.0];[20.0, 40.0];[c];;[n];;;[f];[f];[p, w];[l];[u, a]
;Peppery Bolete;e;[3.0, 6.0];;[d, s, t];[n, o, y];[f];;;;[3.0, 8.0];[8.0, 15.0];;;[n, n, e, y];;;[f];[f];;;[u, a]
;Orange Birch Bolete;e;[12.0, 25.0];[x, x];[d];[n, e, o];[f];;;;[12.0, 20.0];[30.0, 40.0];;[y, y];[n, w, k];;;[f];[f];;[d];[u, a]
;Brown Birch Bolete;e;[5.0, 10.0];;;[n];[t];;;;[8.0, 15.0];[20.0, 30.0];;[y];[n, w, k];;;[f];[f];;;[u, a]
;Larch Bolete;e;[4.0, 12.0];;[t, t];[y];[f];;;;[5.0, 10.0];[12.0, 18.0];;;[y];;[y];[t];[f];;;[u, a]
;Slippery Jack;e;[6.0, 12.0];;[t, h, s];[n];[t];;;;[5.0, 10.0];[15.0, 20.0];;;[y];;[n, w, y];[t];[f];;;[u, a]
;Shallow-pored Bolete;e;[4.0, 12.0];;[h, t, s];;[f];;;;[4.0, 10.0];[10.0, 15.0];;[s];[y];;;[t];[f];;[g, h];[u, a]
;Brown Roll-rim;p;[7.0, 15.0];[x, f];[t];[n, n];[t];[d];[c];[n];[4.0, 8.0];[10.0, 20.0];;;;;;[f];[f];;[l, h, d];[u, a]
;Velvet Roll-rim;p;[8.0, 25.0];;;;[f];[a, d];[c];[y];[4.0, 8.0];[20.0, 50.0];;;[n, k];;;[f];[f];;;[u, a]
;False Chanterelle;p;[3.0, 8.0];[s];[d];;[f];[d];[c];;[2.0, 5.0];[5.0, 8.0];;;;;;[f];[f];;[h];[u, a]
;Chanterelle;e;[2.0, 10.0];[p, x, f];;[y];[f];;;;[2.0, 8.0];[8.0, 20.0];;;;;;[f];[f];;[l];[u, a]
;Tubed Chanterelle;e;[2.0, 5.0];[s];;[n, y];[f];[d];;;[5.0, 8.0];[5.0, 10.0];;[w];[y, o];;;[f];[f];;;[a]
